DISTRICT	DISTRICTNAME	CAMPUS	CAMPUSNAME	REGION	COUNTY	COUNTYNAME	TYPE	GRADES	RATING	HOURS11	HOURS12	HOURS13	ITEMS1	ITEMS2	ITEMS3
1902	CAYUGA ISD	1902001	CAYUGA H S	7	1	ANDERSON	S	09 - 12	A	20.4899	1.5078	6.1023	49826	73989	43244
1902	CAYUGA ISD	1902041	CAYUGA MIDDLE	7	1	ANDERSON	M	06 - 08	R	12.8997	1.352	1.8501	49898	63496	42505
1902	CAYUGA ISD	1902103	CAYUGA EL	7	1	ANDERSON	E	EE - 05	E	22.4628	2.2611	3	51659	59358	42965
1903	ELKHART ISD	1903001	ELKHART H S	7	1	ANDERSON	S	09 - 12	A	34.6672	1.6312	3.7737	47543	56113	43151
1903	ELKHART ISD	1903041	ELKHART MIDDLE	7	1	ANDERSON	M	06 - 08	A	23.5496	1	6.0689	45651	62313	41443
1903	ELKHART ISD	1903101	ELKHART EL	7	1	ANDERSON	E	EE - 05	R	45.5026	4	8.0018	39290	58521	40684
1904	FRANKSTON ISD	1904001	FRANKSTON H S	7	1	ANDERSON	S	09 - 12	A	22.0075	3	4.0117	46160	67178	40417
1904	FRANKSTON ISD	1904041	FRANKSTON MIDDLE	7	1	ANDERSON	M	06 - 08	A	17.7333	1	2.9878	37798	71340	40157
1904	FRANKSTON ISD	1904102	FRANKSTON EL	7	1	ANDERSON	E	EE - 05	E	29.8594	2	3.0001	46731	65880	42541
1906	NECHES ISD	1906002	NECHES H S	7	1	ANDERSON	S	09 - 12	A	8.5595	1.1262	2.3583	49101	60101	41565
1906	NECHES ISD	1906102	NECHES EL	7	1	ANDERSON	E	KG - 08	E	22.8143	0.5	4.4841	51047	60101	39833
1907	PALESTINE ISD	1907001	PALESTINE H S	7	1	ANDERSON	S	09 - 12	A	69.9271	4.8797	14.2624	52094	68323	42549
1907	PALESTINE ISD	1907041	PALESTINE MIDDLE	7	1	ANDERSON	M	06 - 08	L	50.8512	2.9405	14.7376	43346	64295	39899
1907	PALESTINE ISD	1907101	NORTHSIDE PRI	7	1	ANDERSON	E	KG - KG	X	22	2	8	30504	71946	40161
1907	PALESTINE ISD	1907102	WASHINGTON EARLY CHILDHOOD CENTER	7	1	ANDERSON	E	EE - PK	X	12.5	1	2.5	20225	71561	41556
1907	PALESTINE ISD	1907107	SOUTHSIDE EL	7	1	ANDERSON	E	01 - 02	A	36	3	7	42413	57686	41736
1907	PALESTINE ISD	1907110	STORY INT	7	1	ANDERSON	E	03 - 05	A	54.4776	4	14.9979	42721	57883	40617
1908	WESTWOOD ISD	1908002	WESTWOOD H S	7	1	ANDERSON	S	09 - 12	R	39.8298	2.8333	13.6263	51717	62324	39187
1908	WESTWOOD ISD	1908041	WESTWOOD J H	7	1	ANDERSON	M	07 - 08	R	24.5153	1.8333	7.0097	41570	65000	40028
1908	WESTWOOD ISD	1908101	WESTWOOD EL	7	1	ANDERSON	E	03 - 06	R	35.4806	2.5	7.193	41952	55373	39045
1908	WESTWOOD ISD	1908102	WESTWOOD PRI	7	1	ANDERSON	E	EE - 02	R	30.9116	1.8333	12.9108	45796	58333	38547
1909	SLOCUM ISD	1909001	SLOCUM H S	7	1	ANDERSON	B	06 - 12	E	19.6092	2	4.2847	45428	66500	44154
1909	SLOCUM ISD	1909101	SLOCUM EL	7	1	ANDERSON	E	EE - 05	R	18.8694	0	2.6939	.	56854	41685
2901	ANDREWS ISD	2901001	ANDREWS H S	18	2	ANDREWS	S	09 - 12	A	68.5897	6.0676	11.1215	63377	96798	59703
2901	ANDREWS ISD	2901002	ANDREWS EDUCATION CENTER	18	2	ANDREWS	S	09 - 12	1	3.4911	1	0.5421	79077	71000	53114
2901	ANDREWS ISD	2901041	ANDREWS MIDDLE	18	2	ANDREWS	M	06 - 08	A	50.1403	4.3822	8.7494	65262	79408	55991
2901	ANDREWS ISD	2901101	DEVONIAN EL	18	2	ANDREWS	E	02 - 03	R	35.5872	4	12.5889	67284	84599	52330
2901	ANDREWS ISD	2901104	UNDERWOOD EL	18	2	ANDREWS	E	04 - 05	A	36.8549	3.5598	9.0003	59895	88648	54214
2901	ANDREWS ISD	2901105	CLEARFORK EL	18	2	ANDREWS	E	EE - 01	R	40.9615	5	3.984	65334	91587	57741
3801	PINEYWOODS COMMUNITY ACADEMY	3801001	PINEYWOODS COMMUNITY ACADEMY H S	7	3	ANGELINA	S	07 - 10	A	10.4503	1.6417	6.0004	33898	52182	45613
3801	PINEYWOODS COMMUNITY ACADEMY	3801103	PINEYWOODS COMMUNITY ACADEMY EL	7	3	ANGELINA	E	PK - 06	A	24.9999	0	14	.	.	41987
3902	HUDSON ISD	3902001	HUDSON H S	7	3	ANGELINA	S	09 - 12	R	49.9512	5.9013	11.9994	49156	66908	43250
3902	HUDSON ISD	3902004	STUBBLEFIELD LRN CTR	7	3	ANGELINA	S	10 - 12	1	5.0006	1	2.0002	46667	84769	44858
3902	HUDSON ISD	3902041	HUDSON MIDDLE	7	3	ANGELINA	M	06 - 08	E	48.1899	4.2143	10.1988	48324	68685	43040
3902	HUDSON ISD	3902101	W F PEAVY PRIMARY	7	3	ANGELINA	E	EE - 02	R	40.5001	3	17.9998	39260	62913	40674
3902	HUDSON ISD	3902102	W H BONNER EL	7	3	ANGELINA	E	03 - 05	R	37.0553	5	7.5527	44094	64811	43334
3903	LUFKIN ISD	3903001	LUFKIN H S	7	3	ANGELINA	S	09 - 12	A	172.4888	21.5789	43.3069	50567	67306	44701
3903	LUFKIN ISD	3903004	STUBBLEFIELD LRN CTR	7	3	ANGELINA	S	09 - 12	1	.	.	.	.	.	.
3903	LUFKIN ISD	3903044	LUFKIN MIDDLE	7	3	ANGELINA	M	06 - 08	A	123.6662	11.7148	24.6929	54272	68805	44513
3903	LUFKIN ISD	3903120	ANDERSON EL	7	3	ANGELINA	E	02 - 05	E	23.4305	3.6325	4.9998	50270	79771	44208
3903	LUFKIN ISD	3903121	BRANDON EL	7	3	ANGELINA	E	03 - 05	A	32.9992	4.7628	8.9998	42164	68105	44452
